"rule_id","goal","outcome_type","group_count","paired","repeated","adjust","normality","expected_count_small","action","method_id","alternative_method_id","title_en","title_ja","reason_en","reason_ja","next_step_en","next_step_ja"
"1","difference","continuous","2","no","no","no","yes","*","recommend","welch_t","mann_whitney","Independent two-group continuous comparison","独立2群の連続値比較","The data look like two independent groups with a continuous outcome and acceptable normality.","独立2群の連続アウトカムで正規性も大きくは外れていないと判断しました。","Run Welch t-test. Use the rank-based alternative if needed.","Welchのt検定に進みます。必要なら順位ベースの代替も検討してください。"
"2","difference","continuous","2","no","no","no","no","*","recommend_with_warning","mann_whitney","welch_t","Independent two-group continuous comparison","独立2群の連続値比較","The data look like two independent groups with a continuous outcome but normality is not reliable.","独立2群の連続アウトカムですが正規性が十分とは言えません。","Run Mann-Whitney U test. Welch t-test is the fallback.","Mann-Whitney U検定に進みます。Welchのt検定は代替です。"
"3","difference","continuous","2","yes","no","no","yes","*","recommend","paired_t","wilcoxon_signed_rank","Paired continuous comparison","対応あり連続値比較","The data look like two paired measurements with acceptable normality.","対応のある2時点の連続アウトカムで正規性も大きくは外れていないと判断しました。","Run paired t-test.","対応のあるt検定に進みます。"
"4","difference","continuous","2","yes","no","no","no","*","recommend","wilcoxon_signed_rank","paired_t","Paired continuous comparison","対応あり連続値比較","The data look like two paired measurements but normality is not reliable.","対応のある2時点の連続アウトカムですが正規性が十分とは言えません。","Run Wilcoxon signed-rank test.","Wilcoxon符号順位検定に進みます。"
"5","difference","continuous","3plus","no","no","no","yes","*","recommend","welch_anova","kruskal_wallis","Multi-group continuous comparison","多群の連続値比較","The data look like three or more independent groups with a continuous outcome and acceptable normality.","3群以上の独立した連続アウトカムで正規性も大きくは外れていないと判断しました。","Run Welch ANOVA.","Welch ANOVAに進みます。"
"6","difference","continuous","3plus","no","no","no","no","*","recommend","kruskal_wallis","welch_anova","Multi-group continuous comparison","多群の連続値比較","The data look like three or more independent groups with a continuous outcome but normality is not reliable.","3群以上の独立した連続アウトカムですが正規性が十分とは言えません。","Run Kruskal-Wallis test.","Kruskal-Wallis検定に進みます。"
"7","difference","continuous","3plus","no","yes","no","yes","*","recommend","repeated_anova","friedman","Repeated continuous comparison","反復測定の連続値比較","The data look like repeated continuous measurements with acceptable normality.","反復測定の連続アウトカムで正規性も大きくは外れていないと判断しました。","Run repeated-measures ANOVA.","反復測定ANOVAに進みます。"
"8","difference","continuous","3plus","no","yes","no","no","*","recommend","friedman","repeated_anova","Repeated continuous comparison","反復測定の連続値比較","The data look like repeated continuous measurements but normality is not reliable.","反復測定の連続アウトカムですが正規性が十分とは言えません。","Run Friedman test.","Friedman検定に進みます。"
"9","difference","binary","2","no","no","no","*","no","recommend","chisq_test","fisher_exact","Independent categorical comparison","独立2群のカテゴリ比較","The data look like two independent groups with enough expected cell counts.","独立2群のカテゴリデータで期待度数も十分そうです。","Run chi-squared test.","χ²検定に進みます。"
"10","difference","binary","2","no","no","no","*","yes","recommend","fisher_exact","chisq_test","Independent categorical comparison","独立2群のカテゴリ比較","The data look like two independent groups with small expected cell counts.","独立2群のカテゴリデータで期待度数が小さいセルがあります。","Run Fisher's exact test.","Fisher正確確率検定に進みます。"
"11","difference","nominal","2","no","no","no","*","no","recommend","chisq_test","fisher_exact","Independent categorical comparison","独立2群のカテゴリ比較","The data look like two independent groups with enough expected cell counts.","独立2群のカテゴリデータで期待度数も十分そうです。","Run chi-squared test.","χ²検定に進みます。"
"12","difference","nominal","2","no","no","no","*","yes","recommend","fisher_exact","chisq_test","Independent categorical comparison","独立2群のカテゴリ比較","The data look like two independent groups with small expected cell counts.","独立2群のカテゴリデータで期待度数が小さいセルがあります。","Run Fisher's exact test.","Fisher正確確率検定に進みます。"
"13","difference","binary","2","yes","no","no","*","*","recommend","mcnemar","","Paired binary comparison","対応あり二値比較","The data look like paired binary measurements.","対応のある二値データと判断しました。","Run McNemar test.","McNemar検定に進みます。"
"14","difference","ordinal","2","no","no","no","*","*","recommend","mann_whitney","welch_t","Independent ordinal comparison","独立2群の順序比較","The data look like two independent groups with an ordinal outcome.","独立2群の順序アウトカムと判断しました。","Run Mann-Whitney U test.","Mann-Whitney U検定に進みます。"
"15","difference","ordinal","2","yes","no","no","*","*","recommend","wilcoxon_signed_rank","paired_t","Paired ordinal comparison","対応あり順序比較","The data look like paired ordinal measurements.","対応のある順序データと判断しました。","Run Wilcoxon signed-rank test.","Wilcoxon符号順位検定に進みます。"
"16","difference","ordinal","3plus","no","no","no","*","*","recommend","kruskal_wallis","welch_anova","Multi-group ordinal comparison","多群の順序比較","The data look like three or more independent groups with an ordinal outcome.","3群以上の独立した順序アウトカムと判断しました。","Run Kruskal-Wallis test.","Kruskal-Wallis検定に進みます。"
"17","difference","ordinal","3plus","no","yes","no","*","*","recommend","friedman","repeated_anova","Repeated ordinal comparison","反復測定の順序比較","The data look like repeated ordinal measurements.","反復測定の順序データと判断しました。","Run Friedman test.","Friedman検定に進みます。"
"18","difference","count","*","*","*","*","*","*","redirect","","","Count outcome","カウントアウトカム","Count outcomes should not be forced into a simple comparison test.","カウントアウトカムは単純比較検定に無理に入れるべきではありません。","Move to Poisson or negative binomial regression.","Poisson回帰または負の二項回帰に進んでください。"
"19","association","*","*","*","*","*","*","*","redirect","","","Association branch","関連の枝","This question is about association not a simple group comparison.","この問いは群間差ではなく関連です。","Move to correlation or regression methods.","相関または回帰の枝に進んでください。"
"20","adjusted_effect","*","*","*","*","*","*","*","redirect","","","Adjusted effect branch","調整付き効果の枝","Adjustment was requested so an unadjusted simple test is not the main analysis.","調整が必要なので単純な非調整検定は主解析ではありません。","Move to regression or mixed models.","回帰または混合モデルの枝に進んでください。"
"21","time_to_event","*","*","*","*","*","*","*","redirect","","","Time-to-event branch","生存時間の枝","Time-to-event outcomes need dedicated methods.","生存時間アウトカムには専用の手法が必要です。","Move to Kaplan-Meier or Cox regression.","Kaplan-Meier または Cox 回帰の枝に進んでください。"
"22","agreement","*","*","*","*","*","*","*","redirect","","","Agreement branch","一致度の枝","Agreement questions need ICC Bland-Altman or kappa methods.","一致度の問いには ICC と Bland-Altman または κ 系が必要です。","Move to an agreement workflow.","一致度の枝に進んでください。"
"23","equivalence","*","*","*","*","*","*","*","redirect","","","Equivalence branch","等価性・非劣性の枝","Equivalence and non-inferiority need predefined margins and dedicated methods.","等価性と非劣性には事前に決めたマージンと専用手法が必要です。","Move to TOST or non-inferiority analysis.","TOST または非劣性解析の枝に進んでください。"
"24","difference","*","*","*","*","yes","*","*","redirect","","","Adjustment requested","調整あり","Adjustment was requested so a simple unadjusted test is not the right main branch.","調整が必要なので単純な非調整検定は適切な主枝ではありません。","Move to regression or mixed models.","回帰または混合モデルの枝に進んでください。"
"25","difference","continuous","*","*","*","*","unknown","*","need_more_info","","","Normality unclear","正規性が不明","The outcome is continuous but normality could not be classified confidently.","連続アウトカムですが正規性を十分に判断できませんでした。","Choose whether to treat the data as approximately normal or use the rank-based branch.","正規近似で進むか順位ベースの枝にするかを決めてください。"
